om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
506119,2014,03,15,2014-03-15,17:37:00,3,TX,48,0,1.0,0,0,0.0,0.0,31.9,-98.62,31.9,-98.62,0,0,0,0,0,93,0,0,0
506120,2014,03,15,2014-03-15,18:46:00,3,TX,48,0,1.25,0,0,0.0,0.0,31.7451,-98.135,31.7451,-98.135,0,0,0,0,0,193,0,0,0
513811,2014,03,15,2014-03-15,19:18:00,3,KS,20,0,0.75,0,0,0.0,0.0,37.05,-98.54,37.05,-98.54,0,0,0,0,0,7,0,0,0
497837,2014,03,16,2014-03-16,00:01:00,3,TX,48,0,0.88,0,0,0.0,0.0,31.41,-94.73,31.41,-94.73,0,0,0,0,0,5,0,0,0
497836,2014,03,16,2014-03-16,00:07:00,3,TX,48,0,1.0,0,0,0.0,0.0,31.37,-94.71,31.37,-94.71,0,0,0,0,0,5,0,0,0
506121,2014,03,16,2014-03-16,00:38:00,3,TX,48,0,0.75,0,0,0.0,0.0,32.11,-96.47,32.11,-96.47,0,0,0,0,0,349,0,0,0
502656,2014,03,16,2014-03-16,05:02:00,3,TX,48,0,0.75,0,0,0.0,0.0,29.18,-98.53,29.18,-98.53,0,0,0,0,0,29,0,0,0
505632,2014,03,16,2014-03-16,08:54:00,3,AL,1,0,0.75,0,0,0.0,0.0,31.2391,-86.2979,31.2391,-86.2979,0,0,0,0,0,39,0,0,0
497839,2014,03,22,2014-03-22,13:35:00,3,AR,5,0,0.75,0,0,0.0,0.0,33.7799,-93.88,33.7799,-93.88,0,0,0,0,0,61,0,0,0
508144,2014,03,22,2014-03-22,18:08:00,3,NC,37,0,0.88,0,0,0.0002,0.0,34.382,-77.9212,34.382,-77.9212,0,0,0,0,0,141,0,0,0
508146,2014,03,22,2014-03-22,18:08:00,3,NC,37,0,1.5,0,0,0.0012,0.0,34.382,-77.9233,34.382,-77.9233,0,0,0,0,0,141,0,0,0
508145,2014,03,22,2014-03-22,18:11:00,3,NC,37,0,1.0,0,0,0.0002,0.0,34.3658,-77.8885,34.3658,-77.8885,0,0,0,0,0,141,0,0,0
507764,2014,03,22,2014-03-22,18:45:00,3,NC,37,0,0.75,0,0,0.0,0.0,34.68,-77.21,34.68,-77.21,0,0,0,0,0,133,0,0,0
507763,2014,03,22,2014-03-22,18:47:00,3,NC,37,0,1.0,0,0,0.0,0.0,34.5861,-77.4795,34.5861,-77.4795,0,0,0,0,0,133,0,0,0
507762,2014,03,22,2014-03-22,19:14:00,3,NC,37,0,1.75,0,0,0.0,0.0,34.69,-77.24,34.69,-77.24,0,0,0,0,0,133,0,0,0
507761,2014,03,22,2014-03-22,19:17:00,3,NC,37,0,1.0,0,0,0.0,0.0,34.73,-77.24,34.73,-77.24,0,0,0,0,0,133,0,0,0
507760,2014,03,22,2014-03-22,19:20:00,3,NC,37,0,0.75,0,0,0.0,0.0,34.64,-77.14,34.64,-77.14,0,0,0,0,0,133,0,0,0
507759,2014,03,22,2014-03-22,19:23:00,3,NC,37,0,1.75,0,0,0.0,0.0,34.69,-77.13,34.69,-77.13,0,0,0,0,0,133,0,0,0
507758,2014,03,22,2014-03-22,19:37:00,3,NC,37,0,0.88,0,0,0.0,0.0,34.67,-77.03,34.67,-77.03,0,0,0,0,0,31,0,0,0
497845,2014,03,22,2014-03-22,23:31:00,3,TX,48,0,1.0,0,0,0.0,0.0,31.81,-94.7,31.81,-94.7,0,0,0,0,0,347,0,0,0
497857,2014,03,23,2014-03-23,00:58:00,3,LA,22,0,0.75,0,0,0.0,0.0,32.3564,-93.8759,32.3564,-93.8759,0,0,0,0,0,17,0,0,0
498962,2014,03,27,2014-03-27,12:50:00,3,KS,20,0,1.0,0,0,0.0,0.0,38.19,-95.48,38.19,-95.48,0,0,0,0,0,3,0,0,0
498963,2014,03,27,2014-03-27,12:53:00,3,KS,20,0,1.0,0,0,0.0,0.0,38.28,-95.39,38.28,-95.39,0,0,0,0,0,3,0,0,0
506918,2014,03,27,2014-03-27,13:16:00,3,KS,20,0,1.75,0,0,0.0,0.0,38.85,-94.69,38.85,-94.69,0,0,0,0,0,91,0,0,0
506870,2014,03,27,2014-03-27,13:20:00,3,MO,29,0,0.75,0,0,0.0,0.0,38.96,-94.6,38.96,-94.6,0,0,0,0,0,95,0,0,0
506919,2014,03,27,2014-03-27,13:20:00,3,KS,20,0,0.88,0,0,0.0,0.0,38.97,-94.62,38.97,-94.62,0,0,0,0,0,91,0,0,0
506920,2014,03,27,2014-03-27,13:23:00,3,KS,20,0,0.88,0,0,0.0,0.0,38.92,-94.62,38.92,-94.62,0,0,0,0,0,91,0,0,0
506871,2014,03,27,2014-03-27,13:27:00,3,MO,29,0,2.0,0,0,0.0,0.0,38.94,-94.53,38.94,-94.53,0,0,0,0,0,95,0,0,0
506872,2014,03,27,2014-03-27,13:28:00,3,MO,29,0,1.25,0,0,0.0,0.0,38.96,-94.47,38.96,-94.47,0,0,0,0,0,95,0,0,0
506873,2014,03,27,2014-03-27,13:30:00,3,MO,29,0,0.75,0,0,0.0,0.0,38.97,-94.49,38.97,-94.49,0,0,0,0,0,95,0,0,0
506874,2014,03,27,2014-03-27,13:38:00,3,MO,29,0,0.88,0,0,0.0,0.0,38.9426,-94.405,38.9426,-94.405,0,0,0,0,0,95,0,0,0
506875,2014,03,27,2014-03-27,13:40:00,3,MO,29,0,1.75,0,0,0.0,0.0,39.02,-94.35,39.02,-94.35,0,0,0,0,0,95,0,0,0
506876,2014,03,27,2014-03-27,13:42:00,3,MO,29,0,1.25,0,0,0.0,0.0,39.89,-94.36,39.89,-94.36,0,0,0,0,0,63,0,0,0
506884,2014,03,27,2014-03-27,13:42:00,3,MO,29,0,1.5,0,0,0.0,0.0,39.02,-94.31,39.02,-94.31,0,0,0,0,0,95,0,0,0
506877,2014,03,27,2014-03-27,13:43:00,3,MO,29,0,1.25,0,0,0.0,0.0,39.05,-94.36,39.05,-94.36,0,0,0,0,0,95,0,0,0
506878,2014,03,27,2014-03-27,13:44:00,3,MO,29,0,1.25,0,0,0.0,0.0,39.89,-94.36,39.89,-94.36,0,0,0,0,0,63,0,0,0
506879,2014,03,27,2014-03-27,13:44:00,3,MO,29,0,1.75,0,0,0.0,0.0,39.0385,-94.2787,39.0385,-94.2787,0,0,0,0,0,95,0,0,0
506880,2014,03,27,2014-03-27,13:45:00,3,MO,29,0,1.0,0,0,0.0,0.0,39.89,-94.36,39.89,-94.36,0,0,0,0,0,63,0,0,0
